employee,time,tenure,quit,role,avg_hourly_wage,dma,restaurant,restaurant_cat
6,2019-2,21,False,Line Cook,16.07301877,AUSTIN,3,Upscale Casual
6,2019-3,22,False,Line Cook,15.42512852,AUSTIN,3,Upscale Casual
6,2019-4,23,False,Line Cook,14.68493579,AUSTIN,3,Upscale Casual
6,2019-5,24,False,Line Cook,15.22266468,AUSTIN,3,Upscale Casual
7,2017-10,1,False,Host/Hostess (Tipped),15.47686822,AUSTIN,9,Casual Dining
7,2017-11,2,False,Host/Hostess (Tipped),14.38835033,AUSTIN,9,Casual Dining
7,2017-12,3,False,Host/Hostess (Tipped),15.16952657,AUSTIN,9,Casual Dining
7,2018-1,4,False,Host/Hostess (Tipped),16.30385312,AUSTIN,9,Casual Dining
7,2018-10,13,False,Host/Hostess (Tipped),14.34259975,AUSTIN,9,Casual Dining
7,2018-11,14,False,Host/Hostess (Tipped),13.5420234,AUSTIN,9,Casual Dining
7,2018-12,15,False,Host/Hostess (Tipped),15.79423026,AUSTIN,9,Casual Dining
7,2018-2,5,False,Host/Hostess (Tipped),14.53436205,AUSTIN,9,Casual Dining
7,2018-3,6,False,Host/Hostess (Tipped),13.81951013,AUSTIN,9,Casual Dining
7,2018-4,7,False,Host/Hostess (Tipped),14.5844475,AUSTIN,9,Casual Dining
7,2018-5,8,False,Host/Hostess (Tipped),14.62581641,AUSTIN,9,Casual Dining
7,2018-6,9,False,Host/Hostess (Tipped),15.54772565,AUSTIN,9,Casual Dining
7,2018-7,10,False,Host/Hostess (Tipped),16.09776997,AUSTIN,9,Casual Dining
7,2018-8,11,False,Host/Hostess (Tipped),14.77645382,AUSTIN,9,Casual Dining
7,2018-9,12,False,Host/Hostess (Tipped),14.73161507,AUSTIN,9,Casual Dining
7,2019-1,16,False,Host/Hostess (Tipped),14.2859143,AUSTIN,9,Casual Dining
7,2019-2,17,False,Host/Hostess (Tipped),15.12359132,AUSTIN,9,Casual Dining
7,2019-3,18,False,Host/Hostess (Tipped),16.25124029,AUSTIN,9,Casual Dining
7,2019-4,19,False,Host/Hostess (Tipped),14.45882996,AUSTIN,9,Casual Dining
7,2019-5,20,False,Host/Hostess (Tipped),15.95619788,AUSTIN,9,Casual Dining
8,2018-10,1,False,Line Cook,15.18827603,DALLAS,22,Casual Dining
8,2018-11,2,False,Line Cook,15.47123528,DALLAS,22,Casual Dining
8,2019-2,5,False,Line Cook,13.54020118,DALLAS,22,Casual Dining
8,2019-3,6,False,Line Cook,13.79076666,DALLAS,22,Casual Dining
8,2019-4,7,False,Line Cook,14.54262528,DALLAS,22,Casual Dining
8,2019-5,8,False,Line Cook,15.06167355,DALLAS,22,Casual Dining
9,2015-10,2,False,Host/Hostess (Tipped),13.18505272,DALLAS,14,Casual Dining
9,2015-11,3,False,Host/Hostess (Tipped),12.89646118,DALLAS,14,Casual Dining
9,2015-12,4,False,Host/Hostess (Tipped),14.94367419,DALLAS,14,Casual Dining
9,2015-9,1,False,Host/Hostess (Tipped),15.10481258,DALLAS,14,Casual Dining
9,2016-1,5,False,Host/Hostess (Tipped),16.3830906,DALLAS,14,Casual Dining
9,2016-2,6,False,Host/Hostess (Tipped),13.70530832,DALLAS,14,Casual Dining
9,2016-3,7,False,Host/Hostess (Tipped),14.37496977,DALLAS,14,Casual Dining
9,2016-4,8,False,Host/Hostess (Tipped),14.80183757,DALLAS,14,Casual Dining
9,2016-5,9,False,Host/Hostess (Tipped),15.65210581,DALLAS,14,Casual Dining
9,2016-6,10,False,Host/Hostess (Tipped),15.86431815,DALLAS,14,Casual Dining
9,2016-7,11,False,Host/Hostess (Tipped),14.00620307,DALLAS,14,Casual Dining
9,2016-8,12,True,Host/Hostess (Tipped),15.17672006,DALLAS,14,Casual Dining
10,2015-5,1,False,Line Cook,14.92331986,AUSTIN,1,Fast Casual
10,2015-6,2,False,Line Cook,16.51507356,AUSTIN,1,Fast Casual
10,2015-5,1,False,Line Cook,14.9155616,AUSTIN,27,Fast Casual
10,2015-6,2,False,Line Cook,12.83079973,AUSTIN,27,Fast Casual
11,2014-7,1,False,Prep Cook,14.02452712,AUSTIN,17,Fast Casual
11,2014-8,2,False,Prep Cook,15.472647,AUSTIN,17,Fast Casual
11,2014-9,3,True,Prep Cook,14.80150591,AUSTIN,17,Fast Casual
11,2018-10,6,False,Prep Cook,14.55625833,AUSTIN,23,Fast Casual
11,2018-11,7,False,Prep Cook,15.25703714,AUSTIN,23,Fast Casual
11,2018-12,8,False,Prep Cook,14.94517761,AUSTIN,23,Fast Casual
11,2018-5,1,False,Prep Cook,15.61707276,AUSTIN,23,Fast Casual
11,2018-6,2,False,Prep Cook,14.58095097,AUSTIN,23,Fast Casual
11,2018-7,3,False,Prep Cook,15.80862795,AUSTIN,23,Fast Casual
11,2018-8,4,False,Prep Cook,13.43787224,AUSTIN,23,Fast Casual
11,2018-9,5,False,Prep Cook,14.20923533,AUSTIN,23,Fast Casual
11,2019-1,9,False,Prep Cook,14.66322127,AUSTIN,23,Fast Casual
11,2019-2,10,False,Prep Cook,16.79439873,AUSTIN,23,Fast Casual
11,2019-3,11,False,Prep Cook,15.97251245,AUSTIN,23,Fast Casual
11,2019-4,12,True,Prep Cook,16.94476818,AUSTIN,23,Fast Casual
12,2017-11,1,False,Prep Cook,15.14383196,AUSTIN,21,Fast Casual
12,2017-12,2,False,Prep Cook,13.75255074,AUSTIN,21,Fast Casual
12,2018-1,3,False,Prep Cook,16.10946837,AUSTIN,21,Fast Casual
12,2018-10,12,False,Prep Cook,11.77304206,AUSTIN,21,Fast Casual
12,2018-11,13,False,Prep Cook,14.72700562,AUSTIN,21,Fast Casual
12,2018-12,14,False,Prep Cook,15.45094896,AUSTIN,21,Fast Casual
12,2018-2,4,False,Prep Cook,13.50064979,AUSTIN,21,Fast Casual
12,2018-3,5,False,Prep Cook,16.03447363,AUSTIN,21,Fast Casual
12,2018-4,6,False,Prep Cook,15.84669695,AUSTIN,21,Fast Casual
12,2018-5,7,False,Prep Cook,16.40982485,AUSTIN,21,Fast Casual
12,2018-6,8,False,Prep Cook,15.28443652,AUSTIN,21,Fast Casual
12,2018-7,9,False,Prep Cook,15.22761862,AUSTIN,21,Fast Casual
12,2018-8,10,False,Prep Cook,15.51341737,AUSTIN,21,Fast Casual
12,2018-9,11,False,Prep Cook,14.34428299,AUSTIN,21,Fast Casual
12,2019-1,15,False,Prep Cook,15.27091591,AUSTIN,21,Fast Casual
12,2019-2,16,False,Prep Cook,15.6893102,AUSTIN,21,Fast Casual
12,2019-3,17,False,Prep Cook,14.58330789,AUSTIN,21,Fast Casual
12,2019-4,18,False,Prep Cook,14.56708316,AUSTIN,21,Fast Casual
12,2019-5,19,False,Prep Cook,14.85179302,AUSTIN,21,Fast Casual
13,2014-12,1,False,Wait-Staff (Tipped),14.7482021,AUSTIN,11,Upscale Casual
13,2015-1,2,False,Wait-Staff (Tipped),13.69257155,AUSTIN,11,Upscale Casual
13,2015-10,11,False,Wait-Staff (Tipped),14.04462031,AUSTIN,11,Upscale Casual
13,2015-11,12,False,Wait-Staff (Tipped),13.74998384,AUSTIN,11,Upscale Casual
13,2015-12,13,False,Wait-Staff (Tipped),14.72186497,AUSTIN,11,Upscale Casual
13,2015-2,3,False,Wait-Staff (Tipped),16.03331952,AUSTIN,11,Upscale Casual
13,2015-3,4,False,Wait-Staff (Tipped),14.14799215,AUSTIN,11,Upscale Casual
13,2015-4,5,False,Wait-Staff (Tipped),14.58861552,AUSTIN,11,Upscale Casual
13,2015-5,6,False,Wait-Staff (Tipped),14.019047,AUSTIN,11,Upscale Casual
13,2015-6,7,False,Wait-Staff (Tipped),15.44800032,AUSTIN,11,Upscale Casual
13,2015-7,8,False,Wait-Staff (Tipped),14.26412148,AUSTIN,11,Upscale Casual
13,2015-8,9,False,Wait-Staff (Tipped),14.38413962,AUSTIN,11,Upscale Casual
13,2016-1,14,False,Wait-Staff (Tipped),13.39989852,AUSTIN,11,Upscale Casual
13,2016-10,23,False,Wait-Staff (Tipped),16.56179048,AUSTIN,11,Upscale Casual
13,2016-11,24,False,Wait-Staff (Tipped),14.43335903,AUSTIN,11,Upscale Casual
13,2016-12,25,False,Wait-Staff (Tipped),14.30454927,AUSTIN,11,Upscale Casual
13,2016-2,15,False,Wait-Staff (Tipped),16.56378529,AUSTIN,11,Upscale Casual
13,2016-3,16,False,Wait-Staff (Tipped),16.54028555,AUSTIN,11,Upscale Casual
13,2016-4,17,False,Wait-Staff (Tipped),15.81481622,AUSTIN,11,Upscale Casual
13,2016-5,18,False,Wait-Staff (Tipped),15.710412,AUSTIN,11,Upscale Casual
13,2016-6,19,False,Wait-Staff (Tipped),14.78350855,AUSTIN,11,Upscale Casual
13,2016-7,20,False,Wait-Staff (Tipped),15.20705933,AUSTIN,11,Upscale Casual
13,2016-8,21,False,Wait-Staff (Tipped),15.97334551,AUSTIN,11,Upscale Casual
13,2016-9,22,False,Wait-Staff (Tipped),16.30850941,AUSTIN,11,Upscale Casual
13,2017-1,26,False,Wait-Staff (Tipped),14.22210264,AUSTIN,11,Upscale Casual
13,2017-10,35,False,Wait-Staff (Tipped),17.36245295,AUSTIN,11,Upscale Casual
13,2017-11,36,True,Wait-Staff (Tipped),15.92930987,AUSTIN,11,Upscale Casual
13,2017-2,27,False,Wait-Staff (Tipped),15.45476991,AUSTIN,11,Upscale Casual
13,2017-3,28,False,Wait-Staff (Tipped),16.23218927,AUSTIN,11,Upscale Casual
13,2017-4,29,False,Wait-Staff (Tipped),13.8373709,AUSTIN,11,Upscale Casual
13,2017-5,30,False,Wait-Staff (Tipped),13.81377704,AUSTIN,11,Upscale Casual
13,2017-6,31,False,Wait-Staff (Tipped),14.62753221,AUSTIN,11,Upscale Casual
13,2017-7,32,False,Wait-Staff (Tipped),15.13695062,AUSTIN,11,Upscale Casual
13,2017-8,33,False,Wait-Staff (Tipped),14.84389582,AUSTIN,11,Upscale Casual
13,2017-9,34,False,Wait-Staff (Tipped),15.97541331,AUSTIN,11,Upscale Casual
14,2015-11,1,False,Wait-Staff (Tipped),14.77940431,DALLAS,28,Casual Dining
14,2015-12,2,False,Wait-Staff (Tipped),16.47268523,DALLAS,28,Casual Dining
14,2016-1,3,False,Wait-Staff (Tipped),14.17575225,DALLAS,28,Casual Dining
14,2016-10,12,False,Wait-Staff (Tipped),16.05701332,DALLAS,28,Casual Dining
14,2016-11,13,False,Wait-Staff (Tipped),13.87396775,DALLAS,28,Casual Dining
14,2016-12,14,False,Wait-Staff (Tipped),15.52739659,DALLAS,28,Casual Dining
14,2016-2,4,False,Wait-Staff (Tipped),14.90812615,DALLAS,28,Casual Dining
14,2016-3,5,False,Wait-Staff (Tipped),14.92623585,DALLAS,28,Casual Dining
14,2016-4,6,False,Wait-Staff (Tipped),14.82960571,DALLAS,28,Casual Dining
14,2016-5,7,False,Wait-Staff (Tipped),14.4258059,DALLAS,28,Casual Dining
14,2016-6,8,False,Wait-Staff (Tipped),16.18122316,DALLAS,28,Casual Dining
14,2016-7,9,False,Wait-Staff (Tipped),15.78815516,DALLAS,28,Casual Dining
14,2016-8,10,False,Wait-Staff (Tipped),14.90324692,DALLAS,28,Casual Dining
14,2016-9,11,False,Wait-Staff (Tipped),16.70164916,DALLAS,28,Casual Dining
14,2017-1,15,False,Wait-Staff (Tipped),15.08665136,DALLAS,28,Casual Dining
14,2017-10,24,False,Wait-Staff (Tipped),17.71614067,DALLAS,28,Casual Dining
14,2017-11,25,False,Wait-Staff (Tipped),14.18717018,DALLAS,28,Casual Dining
14,2017-12,26,False,Wait-Staff (Tipped),14.74986572,DALLAS,28,Casual Dining
14,2017-2,16,False,Wait-Staff (Tipped),13.79145111,DALLAS,28,Casual Dining
14,2017-3,17,False,Wait-Staff (Tipped),13.69313708,DALLAS,28,Casual Dining
14,2017-4,18,False,Wait-Staff (Tipped),14.29581744,DALLAS,28,Casual Dining
14,2017-5,19,False,Wait-Staff (Tipped),13.65312469,DALLAS,28,Casual Dining
14,2017-6,20,False,Wait-Staff (Tipped),13.38901079,DALLAS,28,Casual Dining
14,2017-7,21,False,Wait-Staff (Tipped),16.11248956,DALLAS,28,Casual Dining
14,2017-8,22,False,Wait-Staff (Tipped),15.27676881,DALLAS,28,Casual Dining
14,2017-9,23,False,Wait-Staff (Tipped),14.27058902,DALLAS,28,Casual Dining
14,2018-1,27,False,Wait-Staff (Tipped),15.75736626,DALLAS,28,Casual Dining
14,2018-2,28,False,Wait-Staff (Tipped),15.92583455,DALLAS,28,Casual Dining
14,2018-3,29,False,Wait-Staff (Tipped),15.72320614,DALLAS,28,Casual Dining
14,2018-4,30,False,Wait-Staff (Tipped),15.31984677,DALLAS,28,Casual Dining
14,2018-5,31,False,Wait-Staff (Tipped),15.27993347,DALLAS,28,Casual Dining
14,2018-6,32,False,Wait-Staff (Tipped),15.44942519,DALLAS,28,Casual Dining
14,2018-7,33,False,Wait-Staff (Tipped),15.43469715,DALLAS,28,Casual Dining
14,2018-8,34,False,Wait-Staff (Tipped),14.08407829,DALLAS,28,Casual Dining
14,2018-9,35,True,Wait-Staff (Tipped),16.6090382,DALLAS,28,Casual Dining
15,2016-10,7,False,Wait-Staff (Tipped),14.51044945,AUSTIN,5,Casual Dining
15,2016-11,8,False,Wait-Staff (Tipped),13.53050324,AUSTIN,5,Casual Dining
15,2016-12,9,False,Wait-Staff (Tipped),15.19874587,AUSTIN,5,Casual Dining
15,2016-4,1,False,Wait-Staff (Tipped),16.20177063,AUSTIN,5,Casual Dining
15,2016-5,2,False,Wait-Staff (Tipped),13.64153532,AUSTIN,5,Casual Dining
15,2016-6,3,False,Wait-Staff (Tipped),16.58883589,AUSTIN,5,Casual Dining
15,2016-7,4,False,Wait-Staff (Tipped),15.63635858,AUSTIN,5,Casual Dining
15,2016-8,5,False,Wait-Staff (Tipped),16.068231,AUSTIN,5,Casual Dining
15,2016-9,6,False,Wait-Staff (Tipped),15.60447885,AUSTIN,5,Casual Dining
15,2017-1,10,False,Wait-Staff (Tipped),12.56407096,AUSTIN,5,Casual Dining
15,2017-2,11,False,Wait-Staff (Tipped),14.27156985,AUSTIN,5,Casual Dining
15,2017-3,12,True,Wait-Staff (Tipped),15.77116968,AUSTIN,5,Casual Dining
16,2014-12,1,False,Wait-Staff (Tipped),15.2526551,DALLAS,28,Casual Dining
16,2015-1,2,False,Wait-Staff (Tipped),16.41072757,DALLAS,28,Casual Dining
16,2015-10,11,False,Wait-Staff (Tipped),14.75406583,DALLAS,28,Casual Dining
16,2015-11,12,False,Wait-Staff (Tipped),14.33671076,DALLAS,28,Casual Dining
16,2015-12,13,False,Wait-Staff (Tipped),15.36089267,DALLAS,28,Casual Dining
16,2015-2,3,False,Wait-Staff (Tipped),16.82363961,DALLAS,28,Casual Dining
16,2015-3,4,False,Wait-Staff (Tipped),14.91928055,DALLAS,28,Casual Dining
16,2015-4,5,False,Wait-Staff (Tipped),15.73568239,DALLAS,28,Casual Dining
16,2015-5,6,False,Wait-Staff (Tipped),14.64315284,DALLAS,28,Casual Dining
16,2015-6,7,False,Wait-Staff (Tipped),14.28698286,DALLAS,28,Casual Dining
16,2015-7,8,False,Wait-Staff (Tipped),13.9457277,DALLAS,28,Casual Dining
16,2015-8,9,False,Wait-Staff (Tipped),13.56796208,DALLAS,28,Casual Dining
16,2015-9,10,False,Wait-Staff (Tipped),13.74768237,DALLAS,28,Casual Dining
16,2016-1,14,False,Shift Leader/Supervisor,15.23854344,DALLAS,28,Casual Dining
16,2016-10,23,False,Wait-Staff (Tipped),14.76846209,DALLAS,28,Casual Dining
16,2016-11,24,False,Wait-Staff (Tipped),14.50699173,DALLAS,28,Casual Dining
16,2016-12,25,False,Wait-Staff (Tipped),14.28038658,DALLAS,28,Casual Dining
16,2016-3,16,False,Wait-Staff (Tipped),15.66545142,DALLAS,28,Casual Dining
16,2016-4,17,False,Wait-Staff (Tipped),14.45542735,DALLAS,28,Casual Dining
16,2016-5,18,False,Wait-Staff (Tipped),17.32301514,DALLAS,28,Casual Dining
16,2016-6,19,False,Wait-Staff (Tipped),15.45298608,DALLAS,28,Casual Dining
16,2016-7,20,False,Wait-Staff (Tipped),15.60531243,DALLAS,28,Casual Dining
16,2016-8,21,False,Wait-Staff (Tipped),14.62106438,DALLAS,28,Casual Dining
16,2016-9,22,False,Shift Leader/Supervisor,14.6599021,DALLAS,28,Casual Dining
16,2017-1,26,False,Wait-Staff (Tipped),15.44147731,DALLAS,28,Casual Dining
16,2017-2,27,False,Wait-Staff (Tipped),13.8850061,DALLAS,28,Casual Dining
16,2017-3,28,False,Wait-Staff (Tipped),15.02106192,DALLAS,28,Casual Dining
16,2017-4,29,False,Wait-Staff (Tipped),16.18331469,DALLAS,28,Casual Dining
16,2017-5,30,False,Wait-Staff (Tipped),15.30690072,DALLAS,28,Casual Dining
16,2017-6,31,False,Wait-Staff (Tipped),15.73419837,DALLAS,28,Casual Dining
16,2017-7,32,False,Wait-Staff (Tipped),14.32640536,DALLAS,28,Casual Dining
16,2017-8,33,True,Wait-Staff (Tipped),15.68193661,DALLAS,28,Casual Dining
17,2017-12,1,False,Dishwasher,14.49099541,AUSTIN,15,Fast Casual
17,2018-1,2,False,Dishwasher,15.17173404,AUSTIN,15,Fast Casual
17,2018-10,11,False,Dishwasher,14.8266391,AUSTIN,15,Fast Casual
17,2018-11,12,False,Dishwasher,15.41127537,AUSTIN,15,Fast Casual
17,2018-12,13,False,Dishwasher,15.32625032,AUSTIN,15,Fast Casual
17,2018-2,3,False,Dishwasher,16.51477481,AUSTIN,15,Fast Casual
17,2018-3,4,False,Dishwasher,15.60992332,AUSTIN,15,Fast Casual
17,2018-4,5,False,Dishwasher,17.67813798,AUSTIN,15,Fast Casual
17,2018-5,6,False,Dishwasher,14.00453666,AUSTIN,15,Fast Casual
17,2018-6,7,False,Dishwasher,14.68522112,AUSTIN,15,Fast Casual
17,2018-7,8,False,Dishwasher,14.81442597,AUSTIN,15,Fast Casual
17,2018-8,9,False,Dishwasher,14.46756062,AUSTIN,15,Fast Casual
17,2018-9,10,False,Dishwasher,16.00772967,AUSTIN,15,Fast Casual
17,2019-1,14,False,Dishwasher,15.78316184,AUSTIN,15,Fast Casual
17,2019-2,15,False,Dishwasher,14.66029459,AUSTIN,15,Fast Casual
17,2019-3,16,False,Dishwasher,15.7793025,AUSTIN,15,Fast Casual
17,2019-4,17,False,Dishwasher,16.32519531,AUSTIN,15,Fast Casual
17,2019-5,18,False,Dishwasher,16.42727675,AUSTIN,15,Fast Casual
18,2017-12,1,False,Dishwasher,16.12757632,AUSTIN,15,Fast Casual
18,2018-1,2,False,Dishwasher,16.02007279,AUSTIN,15,Fast Casual
18,2018-2,3,False,Dishwasher,14.34879661,AUSTIN,15,Fast Casual
18,2018-3,4,False,Dishwasher,15.9195996,AUSTIN,15,Fast Casual
18,2018-4,5,False,Dishwasher,14.14359063,AUSTIN,15,Fast Casual
18,2018-5,6,False,Dishwasher,11.48115943,AUSTIN,15,Fast Casual
18,2018-6,7,True,Dishwasher,16.5550808,AUSTIN,15,Fast Casual
19,2015-1,1,False,Expediter,16.95647235,DALLAS,12,Casual Dining
19,2015-10,10,False,Host/Hostess (Tipped),15.82264748,DALLAS,12,Casual Dining
19,2015-11,11,False,Host/Hostess (Tipped),15.67308081,DALLAS,12,Casual Dining
