EO50 Approval Date,Business Name,Business Address,Business City,Business State,Business Phone,Postcode,Borough,Community Board,Latitude,Longitude,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
06/14/2021 12:00:00 AM,L3 104-106 N 7 LLC,550 West Adams Street,Chicago,Illinois,312-878-4858,60661,,,,,,,,,
06/16/2021 12:00:00 AM,"A & B Heating and Air Conditioning, Inc.",2129 Richmond Terrace,Staten Island,New York,718-556-0260,10302,,501,40.640302,-74.134148,49,5025252,5010680087,20702,SI0106
06/16/2021 12:00:00 AM,JFK Hotel Partners LLC,420 Great Neck Road,Great Neck,New York,516-773-9300,11021,,,,,,,,,
06/21/2021 12:00:00 AM,Mace Contracting Corp.,35 Portman Road,New Rochelle,New York,914-576-0606,10801,,,,,,,,,
06/21/2021 12:00:00 AM,"Ruttura & Sons Construction Co., Inc.",200 Cabot Street,West Babylon,New York,631-454-0291,11704,,,,,,,,,
06/21/2021 12:00:00 AM,"Standard Concrete & Excavation, Inc.",99 Wall Street,New York,New York,646-901-4900,10005,MANHATTAN,101,40.705,-74.007156,1,1000865,1000337501,7,MN0101
06/23/2021 12:00:00 AM,"D & D Electrical Construction Compnay, Inc",18 West 27th Street,New York,New York,646-851-0016,10001,MANHATTAN,105,40.744717,-73.989325,3,1015659,1008280059,58,MN0501
06/23/2021 12:00:00 AM,New Soho Associates LLC,73 Spring Street,New York,New York,212-431-7500,10012,MANHATTAN,102,40.722542,-73.997673,1,1079952,1004960036,43,MN0201
06/24/2021 12:00:00 AM,Boccella Precast LLC,324 New Brooklyn Road,Berlin,New Jersey,856-767-3861,08009,,,,,,,,,
06/24/2021 12:00:00 AM,"J.T. Magen & Company, Inc.",44 West 28th Street,New York,New York,212-790-4228,10001,MANHATTAN,105,40.745556,-73.989386,3,1015707,1008290068,58,MN0501
06/24/2021 12:00:00 AM,JTRE 14 Vesey LLC,385 Fifth Avenue,New York,New York,212-295-8004,10016,MANHATTAN,105,40.749563,-73.983726,4,1017134,1008650071,82,MN0502
06/24/2021 12:00:00 AM,"Moncon, Inc.",1460 Sheridan Boulevard,Bronx,New York,914-619-1719,10459,BRONX,209,40.831939,-73.884415,17,2010977,2030170074,157,BX0303
06/24/2021 12:00:00 AM,Y & Y Concrete Inc.,5308 13th Avenue,Brooklyn,New York,718-925-2992,11219,BROOKLYN,312,40.632675,-73.994581,44,3139018,3056690070,218,BK1202
06/28/2021 12:00:00 AM,Combined Resources Interiors,101 Sheer Plaza,Plainview,New York,516-777-1159,11803,,,,,,,,,
06/30/2021 12:00:00 AM,"March Associates Construction, Inc.",601 Hamburg Turnpike,Wayne,New Jersey,973-904-0213,07474,,,,,,,,,
07/06/2021 12:00:00 AM,"A. Bonaduce, Inc.",1060 Hwy 36,Atlantic Highlands,New Jersey,732-204-2085,07716,,,,,,,,,
07/06/2021 12:00:00 AM,Deadwood Construction Corp.,7 Purdy Street,Morrison,New York,914-619-6364,10528,,,,,,,,,
07/06/2021 12:00:00 AM,Mass Contracting Corp.,370 Lexington Avenue,New York,New York,212-308-9090,10017,MANHATTAN,105,40.750646,-73.976641,4,1036150,1012950058,80,MN0603
07/06/2021 12:00:00 AM,SNL Construction LLC,3333 New Hyde Park,Lake Success,New York,516-472-7880,11042,,,,,,,,,
07/06/2021 12:00:00 AM,"SNL XXIII, LLC",3333 New Hyde Park Road,New Hyde Park,New York,516-472-7880,11042,,,,,,,,,
07/06/2021 12:00:00 AM,"SNL XXIV, LLC",3333 New Hyde Park Road,New Hyde Park,New York,516-472-7880,11042,,,,,,,,,
07/06/2021 12:00:00 AM,"SNL XXV, LLC",3333 New Hyde Park Road,New Hyde Park,New York,516-472-7880,11042,,,,,,,,,
07/08/2021 12:00:00 AM,"Chick-fil-A, Inc.",5200 Buffington Road,Atlanta,Georgia,404-305-4264,30349,,,,,,,,,
07/08/2021 12:00:00 AM,Lorich Construction Management LLC,2070 Deer Park Avenue,Deer Park,New York,631-254-3680,11729,,,,,,,,,
07/08/2021 12:00:00 AM,Michelangelo GIIK Flatiron LLC,125 Park Avenue,New York,New York,212-850-5421,10017,MANHATTAN,105,40.751681,-73.977677,4,1036151,1012960001,80,MN0603
07/08/2021 12:00:00 AM,The Sweet Construction Group,5 Hanover Square,New York,New York,917-751-3493,10004,MANHATTAN,101,40.704923,-74.009046,1,1000832,1000280005,7,MN0101
07/12/2021 12:00:00 AM,Lettire Construction Corp.,334-336 East 110th Street,New York,New York,212-996-6640,10029,MANHATTAN,111,40.792786,-73.939638,8,1052844,1016810036,180,MN1102
07/12/2021 12:00:00 AM,Redfern FRP LLC,902 Broadway,New York,New York,212-243-9090,10010,MANHATTAN,105,40.739279,-73.989726,2,1016201,1008490016,52,MN0501
07/13/2021 12:00:00 AM,1000 Westchester Avenue LLC,450 West 14th Street,New York,New York,212-620-0500,10014,MANHATTAN,102,40.74184,-74.007503,3,1012223,1006467502,79,MN0203
07/13/2021 12:00:00 AM,Neiva Construction Corp.,18 Oakdale Avenue,Selden,New York,516-779-8753,11784,,,,,,,,,
07/15/2021 12:00:00 AM,80 Willoughby LLC,73 Sprin Street,New York,New York,212-431-7500,10012,MANHATTAN,,,,,,,,
07/15/2021 12:00:00 AM,"M + R Construction Group, Inc.",144 McClean Avenue,Staten Island,New York,917-747-5863,10305,,502,40.597915,-74.066833,50,5000000,5031140028,74,SI0201
07/20/2021 12:00:00 AM,Eastern Air Inc.,260 Johnson Avenue,Brooklyn,New York,718-821-3636,11206,BROOKLYN,301,40.707081,-73.937926,34,3071300,3030730034,485,BK0104
07/20/2021 12:00:00 AM,Elite Glass Installations LLC,3003 Woodbridge Avenue,Edison,New Jersey,201-333-8100,08837,,,,,,,,,
07/21/2021 12:00:00 AM,6301 12th Ave LLC,1371 42nd Street,Brooklyn,New York,718-923-3113,11219,BROOKLYN,312,40.638087,-73.986604,39,3135756,3055940048,232,BK1202
07/21/2021 12:00:00 AM,"Casino Development Group, Inc.",54-01 43rd Street,Maspeth,New York,718-606-8616,11378,,402,40.732146,-73.924553,26,4058814,4025220010,205,QN0202
07/21/2021 12:00:00 AM,SD Builders and Construction LLC,38 East 29th Street,New York,New York,646-439-4000,10016,MANHATTAN,105,40.744436,-73.984807,2,1016915,1008580049,74,MN0501
07/21/2021 12:00:00 AM,Townhouse Builders Inc,36-11 14th Avenue,Brooklyn,New York,718-851-9090,11218,BROOKLYN,312,40.640848,-73.982459,39,3125035,3053490001,228,BK1202
07/26/2021 12:00:00 AM,"P.E. Stone, Inc.",50 Watts Street,New York,New York,212-334-1113,10013,MANHATTAN,102,40.723684,-74.005314,1,1007122,1004770066,37,MN0201
07/26/2021 12:00:00 AM,Wolkow Braker Roofing Corporation,151 Herricks Road,Garden City,New York,516-282-1756,11040,,,,,,,,,
07/27/2021 12:00:00 AM,Americon HITT,120 Broadway,New York,New York,212-229-5215,10271,MANHATTAN,101,40.708546,-74.011041,1,1001026,1000477501,7,MN0101
07/28/2021 12:00:00 AM,"GGP Staten Island Mall LLC, a Delaware Limited Liability Company",500 Fifth Avenue,New York,New York,646-553-2314,10110,MANHATTAN,105,40.753543,-73.980856,4,1034199,1012580034,96,MN0502
08/02/2021 12:00:00 AM,Zapata Construction Inc.,620 Fifth Avenue,Pelham,New York,914-738-5400,10803,,,,,,,,,
08/03/2021 12:00:00 AM,"View, Inc.",740 BROADWAY,New York,New York,662-892-3415,10003,MANHATTAN,102,40.729884,-73.992993,2,1080092,1005450026,57,MN0202
08/04/2021 12:00:00 AM,"R & S United Services, Inc.",15 Ranick Drive West,Amityville,New York,631-841-1525,11701,,,,,,,,,
08/05/2021 12:00:00 AM,Konrad Group LP,503 Broadway,New York,New York,212-960-8385,10012,MANHATTAN,102,40.722301,-73.999437,1,1007251,1004847502,49,MN0201
08/06/2021 12:00:00 AM,KJC Waterproofing Inc.,39 W. Quackenbush Avenue,Dumont,New Jersey,201-384-9661,07628,,,,,,,,,
08/09/2021 12:00:00 AM,"A & M Warshaw Plumbing & Heating, Inc.",575 Lexington Avenue,New York,New York,212-343-0101,10022,MANHATTAN,106,40.757216,-73.971827,4,1036461,1013060023,100,MN0604
08/09/2021 12:00:00 AM,Architectural Metal and Glass,66 Grant Avenue,Carteret,New Jersey,732-352-0763,07008,,,,,,,,,
08/13/2021 12:00:00 AM,"JVN Restoration, Inc.",47 Foster Road,Staten Island,New York,718-605-6256,10309,,503,40.528324,-74.201986,51,5084016,5068590009,20804,SI0304
08/18/2021 12:00:00 AM,Enercon Technical Service,1233 McDonald Avenue,Brooklyn,New York,917-705-0512,11230,BROOKLYN,312,40.622841,-73.975649,44,3171057,3065240075,450,BK1204
08/18/2021 12:00:00 AM,Liberty Elevator Corporation,63 East 24th Street,Paterson,New Jersey,973-279-1390,07614,,,,,,,,,
08/20/2021 12:00:00 AM,Otis Elevator Company,250 East 34th Street,New York,New York,917-339-9600,10119,MANHATTAN,106,40.745129,-73.97673,4,1020129,1009140035,7002,MN0603
08/23/2021 12:00:00 AM,NY EZ Property Holdings LLC,141-47 Northern Boulevard,Flushing,New York,917-299-4388,11354,QUEENS,407,40.764407,-73.825539,20,4609746,4050020082,1161,QN0707
08/26/2021 12:00:00 AM,Water Street Leasehold LLC,767 Third Avenue,New York,New York,212-755-5151,10017,MANHATTAN,106,40.754276,-73.971879,4,1037996,1013210047,90,MN0604
08/31/2021 12:00:00 AM,375 Park Fee LLC,375 Park Avenue,New York,New York,212-308-1000,10152,MANHATTAN,105,40.758786,-73.972801,4,1036465,1013070001,100,MN0604
08/31/2021 12:00:00 AM,Island Diversified Inc.,1191 Scott Avenue,Calverton,New York,631-953-6990,11933,,,,,,,,,
09/02/2021 12:00:00 AM,JTRE 23 WS (DEL) LLC,385 Fifth Avenue,New York,New York,212-295-8004,10016,MANHATTAN,105,40.749563,-73.983726,4,1017134,1008650071,82,MN0502
09/08/2021 12:00:00 AM,"CSI Construction Services, Inc.",374 New York Avenue,Newark,New Jersey,862-237-7345,07105,,,,,,,,,
09/23/2021 12:00:00 AM,Phase 1 Group Inc.,59 Englewood Avenue,Staten Island,New York,732-379-4990,10309,,503,40.533694,-74.234732,51,5155255,5073800029,22602,SI0305
09/24/2021 12:00:00 AM,EC Contracting Inc.,25 Banfi Plaza West,Farmingdale,New York,516-546-8400,11735,,,,,,,,,
09/24/2021 12:00:00 AM,"Perini Group, Inc.",112-51 Northern Boulevard,Corona,New York,718-288-0128,11368,QUEENS,403,40.75817,-73.856724,21,4000000,4017070008,373,QN0302
09/24/2021 12:00:00 AM,TDC Corporation Inc.,901 Nepperhan Avenue,Yonkers,New York,914-906-7286,10703,,,,,,,,,
09/24/2021 12:00:00 AM,The Moore Group Corporation,1 Jefferson Place,Baldwin,New York,516-746-6300,11510,,,,,,,,,
09/27/2021 12:00:00 AM,Pavarini McGovern,330 West 347th Street,New York,New York,212-907-0900,10001,MANHATTAN,,,,,,,,
09/27/2021 12:00:00 AM,Seamless Industrial Inc.,23-96 48th Street,Astoria,New York,718-685-2875,11103,QUEENS,401,40.766117,-73.904392,22,4013610,4007330082,141,QN0104
09/27/2021 12:00:00 AM,Trinity Hudson Holdings LLC c/o Hines,345 Hudson Street,New York,New York,646-701-5160,10014,MANHATTAN,102,40.72754,-74.007295,3,1010378,1005980058,37,MN0201
09/28/2021 12:00:00 AM,Next Generation Fulton LLC,667 Madison Avenue,New York,New York,212-292-0208,10065,MANHATTAN,108,40.764613,-73.97024,4,1072007,1013750049,11401,MN0802
09/29/2021 12:00:00 AM,Acon Construction,5105 Flushing Avenue,Maspeth,New York,718-392-5802,11378,,405,40.71355,-73.91561,30,4437481,4026110450,53502,QN0501
10/01/2021 12:00:00 AM,Argonaut Holdings Inc.,300 Renaissance Center,Detroit,Michigan,312-268-8240,48265,,,,,,,,,
10/01/2021 12:00:00 AM,CBRE,200 Park Avneue,New York,New York,212-824-2150,10166,MANHATTAN,,,,,,,,
10/01/2021 12:00:00 AM,"ESRT 1400 Broadway, L.P. c/o Empire State Realty Trust",111 West 33rd Street,New York,New York,212-850-2680,10120,MANHATTAN,105,40.749399,-73.988869,3,1015201,1008090053,101,MN0501
10/01/2021 12:00:00 AM,"ESRT Empire State Building, L.L.C. c/o Empire State Realty Trust",111 West 33rd Street,New York,New York,212-850-2680,10120,MANHATTAN,105,40.749399,-73.988869,3,1015201,1008090053,101,MN0501
10/01/2021 12:00:00 AM,V & P Altitude Corp.,3708 Fort Hamilton Parkway,Brooklyn,New York,718-436-0522,11218,BROOKLYN,312,40.644027,-73.989215,38,3122942,3052890048,110,BK1201
10/04/2021 12:00:00 AM,2686-2690 Broadway LLC,75 Broad Street,New York,New York,212-742-0835,10004,MANHATTAN,101,40.704541,-74.011552,1,1000849,1000290070,9,MN0101
10/04/2021 12:00:00 AM,"Anthony G. Ferry, Inc.",314 City Island Avenue,Bronx,New York,646-678-4460,10464,BRONX,210,40.847444,-73.786556,13,2082610,2056440003,51601,BX1003
10/04/2021 12:00:00 AM,"ESRT 1333 Broadway, LLC","111 West 33rd Street c/o Empire State Realty Trust, Inc",New York,New York,212-850-2720,10001,MANHATTAN,105,40.749399,-73.988869,3,1015201,1008090053,101,MN0501
10/04/2021 12:00:00 AM,ESRT 1350 Broadway LLC,"111 West 33rd Street c/o Empire State Realty Trust, Inc.",New York,New York,212-850-2720,10001,MANHATTAN,105,40.749399,-73.988869,3,1015201,1008090053,101,MN0501
10/04/2021 12:00:00 AM,"ESRT 1359 Broadway, LLC","111 West 33rd Street c/o Empire State Realty Trust, Inc.",New York,New York,212-850-2720,10001,MANHATTAN,105,40.749399,-73.988869,3,1015201,1008090053,101,MN0501
10/04/2021 12:00:00 AM,Hudson Black Inc.,270 Sparta Avenue,Sparta,New Jersey,908-303-2899,07871,,,,,,,,,
10/04/2021 12:00:00 AM,"Noble Elevator Company, Inc.",1655 Sycamore Avenue,Bohemia,New York,631-981-4100,11716,,,,,,,,,
10/04/2021 12:00:00 AM,Premier Building & Renovations Corp.,769 Fulton Street,Farmingdale,New York,516-359-5729,11735,,,,,,,,,
10/13/2021 12:00:00 AM,"H.A.E. Air, Inc.",180 Gary Way,Ronkonkoma,New York,631-924-2180,11779,,,,,,,,,
10/13/2021 12:00:00 AM,"L & M Builders Group, Inc.",1865 Palmer Avenue,Larchmont,New York,914-833-3000,10538,,,,,,,,,
10/13/2021 12:00:00 AM,SV-A Moderate Owners LLC,551 Fifth Avnue,New York,New York,917-542-3600,10176,MANHATTAN,,,,,,,,
10/13/2021 12:00:00 AM,TRV Mechanical Heating & Air Conditioning,217 Markey Street,Kenilworth,New Jersey,908-241-6111,07033,,,,,,,,,
10/13/2021 12:00:00 AM,Trylon LLC,P.O. Box 660007,Fresh Meadows,New York,347-546-4426,11366,QUEENS,,,,,,,,
10/20/2021 12:00:00 AM,807 Bank Street Property LLC,4 Bryant Park,New York,New York,646-503-5717,10018,MANHATTAN,105,40.75387,-73.98483,4,1022566,1009930036,113,MN0502
10/20/2021 12:00:00 AM,Precision Elevator Corp,257 51st Street,Brooklyn,New York,718-782-7800,11220,BROOKLYN,307,40.647812,-74.016296,38,3250703,3007890050,20,BK0702
10/20/2021 12:00:00 AM,Reidy Contracting Group,120 W 31st Street,New York,New York,212-532-4600,10001,MANHATTAN,105,40.748241,-73.990003,3,1015170,1008060054,101,MN0501
10/20/2021 12:00:00 AM,"Steel 375 Johnson, LLC",999 S. Oyster Bay Road,Bethpage,New York,516-465-0053,11714,,,,,,,,,
10/21/2021 12:00:00 AM,Architectural Window Manufacturing Corporation,359 Veterans Boulevard,Rutherford,New Jersey,201-939-2200,07070,,,,,,,,,
10/21/2021 12:00:00 AM,GRJ Construction Corporation,101 Belmont Avenue,Garfield,New Jersey,973-317-3671,07026,,,,,,,,,
10/21/2021 12:00:00 AM,Premiere Design + Build Group,1000 West Irving Park Rd,Itasca,Illinois,847-297-4200,60143,,,,,,,,,
10/27/2021 12:00:00 AM,New Leaf Development LLC,461 20th Street,Brooklyn,New York,718-984-5940,11215,BROOKLYN,307,40.657279,-73.985147,39,3259245,3008880059,1502,BK0701
10/27/2021 12:00:00 AM,OCPG LLC,130 West 42nd Street,New York,New York,212-920-3384,10036,MANHATTAN,105,40.755278,-73.985172,4,1022577,1009940045,113,MN0502
11/01/2021 12:00:00 AM,All Above Storefronts Inc.,50 Gilpin Avenue,Hauppauge,New York,631- 627-3539,11788,,,,,,,,,
11/01/2021 12:00:00 AM,CNY Hospitality LLC,1440 Broadway,New York,New York,646-895-8860,10018,MANHATTAN,105,40.754611,-73.986761,4,1022563,1009930011,113,MN0502
11/01/2021 12:00:00 AM,Evergreen Builders and Construction Services Inc.,7 West 45th Street,New York,New York,212-575-8777,10036,MANHATTAN,105,40.755678,-73.980101,4,1034250,1012610030,96,MN0502
11/01/2021 12:00:00 AM,Stream Plumbing Inc.,5956 55th Drive,Maspeth,New York,917-295-7909,11378,,405,40.725958,-73.907264,30,4607553,4026880061,531,QN0501
11/08/2021 12:00:00 AM,620 W 153 Realty LLC,84 Kosciuszko Street,Brooklyn,New York,718-963-0536,11205,BROOKLYN,303,40.690523,-73.952192,36,3049730,3017830047,241,BK0301
11/08/2021 12:00:00 AM,"Blue Millennium Realty, LLC",21 Dey Street,New York,New York,212-235-6360,10007,MANHATTAN,101,40.71092,-74.010608,1,1001070,1000630006,13,MN0101
11/08/2021 12:00:00 AM,MDB Development Corporation,511 Canal Street,New York,New York,212-431-3994,10013,MANHATTAN,102,40.724425,-74.008915,1,1010287,1005940008,37,MN0201
11/08/2021 12:00:00 AM,New Roc Contracting Corp.,2125 Center Avenue,Fort Lee,New Jersey,914-500-3994,07024,,,,,,,,,
11/08/2021 12:00:00 AM,Vee Holding LLC,36 Taafe Place,Brooklyn,New York,718-963-9845,11205,BROOKLYN,,,,,,,,
11/16/2021 12:00:00 AM,132 West 14th Street Ground Lessee LLC c/o KPG Funds,433 Broadway,New York,New York,646-665-4508,10013,MANHATTAN,102,40.720077,-74.00132,1,1090587,1002310014,47,MN0201
11/16/2021 12:00:00 AM,Grand Construction & Development Group Corp.,112-15 Northern Boulevard,Corona,New York,718-397-8800,11368,QUEENS,403,40.758108,-73.857201,21,4594919,4017067501,373,QN0302
11/16/2021 12:00:00 AM,Justice Ave Tower II LLC,112-15 Northern Boulevard,Corona,New York,718-397-8800,11368,QUEENS,403,40.758108,-73.857201,21,4594919,4017067501,373,QN0302
11/16/2021 12:00:00 AM,New Hudson Facades,815 Columbia Avenue,Linwood,Pennsylvania,610-498-8100,19061,,,,,,,,,
11/16/2021 12:00:00 AM,ZB Pearl LLC,225 West 37th Street,New York,New York,347-837-2994,10018,MANHATTAN,105,40.753288,-73.99015,3,1014457,1007870025,109,MN0502
11/17/2021 12:00:00 AM,Commodore Construction Corp.,602 South 3rd Avenue,Mount Vernon,New York,914-297-3010,10550,,,,,,,,,
11/23/2021 12:00:00 AM,Boston Properties Limited Partnership,599 Lexington Avenue,New York,New York,212-326-4030,10022,MANHATTAN,106,40.758275,-73.971055,4,1036467,1013070023,100,MN0604
11/23/2021 12:00:00 AM,"CBB Venture, LLC",38 Corbett Way,Eatontown,New Jersey,212-619-3727,07724,,,,,,,,,
11/23/2021 12:00:00 AM,IG Construction Group,1384 Broadway,New York,New York,212-268-8602,10018,MANHATTAN,105,40.752577,-73.987378,4,1015261,1008130050,109,MN0502
11/23/2021 12:00:00 AM,KNR Construction LLC,62 Segwick Avenue,Yonkers,New York,914-320-4748,10705,,,,,,,,,
11/23/2021 12:00:00 AM,Precise Painting & Wallcovering,2092 Route 302,Circleville,New York,845-361-5004,10919,,,,,,,,,
12/01/2021 12:00:00 AM,144-20 LLC,138-18 101st Avenue,Queens,New York,917-560-2555,11435,QUEENS,412,40.694408,-73.810288,27,4214342,4100180007,206,QN1201
12/01/2021 12:00:00 AM,210 Clarkson Propco LLC,153-90 Rockaway Boulevard,Jamaica,New York,718-557-7717,11434,QUEENS,412,40.668711,-73.781786,28,4263211,4121370020,294,QN1204
12/01/2021 12:00:00 AM,NY Developers & Management LLC,266 47th Street,Brooklyn,New York,718-260-8940,11220,BROOKLYN,307,40.649948,-74.013824,38,3396951,3007630034,20,BK0702
12/01/2021 12:00:00 AM,Sela Ryerson LLC,36-37 36th Street,Astoria,New York,718-784-7700,11106,QUEENS,401,40.753949,-73.926362,26,4009530,4006360015,55,QN0105
12/07/2021 12:00:00 AM,25C LLC,249 Smith Street,Brooklyn,New York,347-925-0909,11231,BROOKLYN,306,40.683311,-73.992767,39,3006697,3004150008,75,BK0601
12/07/2021 12:00:00 AM,440 Ninth Avenue Owner LLC c/o Tactonic Management Company LLC,111 Eighth Avenue Suite 1513,New York,New York,212-220-9945,10011,MANHATTAN,104,40.740704,-74.001844,3,1013043,1007390001,83,MN0401
12/07/2021 12:00:00 AM,Avalanche Builder LLC,37-10 11 Street,Long Island City,New York,201-850-2431,11101,QUEENS,401,40.759463,-73.941011,26,4004385,4003600023,85,QN0105
12/07/2021 12:00:00 AM,Dutch Vortex LLC,37-38 31st Street,Long Island City,New York,212-643-9292,11101,QUEENS,401,40.754479,-73.931472,26,4004534,4003720033,51,QN0105
12/07/2021 12:00:00 AM,"EV Liberty, LLC",3323 NE 163rd Street,Miami,Florida,786-627-6034,33160,,,,,,,,,
12/07/2021 12:00:00 AM,Park Hotel Bronx LLC,87-21 144th Street,Queens,New York,917-627-5286,11435,QUEENS,408,40.706411,-73.81206,24,4207358,4097030007,232,QN0805
12/07/2021 12:00:00 AM,Patel Construction LLC,87-23 144th Street,Queens,New York,347-453-8464,11435,QUEENS,408,40.706376,-73.812057,24,4207357,4097030005,232,QN0805
12/07/2021 12:00:00 AM,Suffolk Construction Company,One Pennsylvania Plaza,New York,New York,646-952-8000,10119,MANHATTAN,,,,,,,,
12/07/2021 12:00:00 AM,"Terry Contracting & Materials, Inc.",1146 Osborn Avenue,Riverhead,New York,631-680-9594,11901,,,,,,,,,
12/07/2021 12:00:00 AM,Vision Asset Group LLC,87-23 144th Street,Queens,New York,917-627-5286,11435,QUEENS,408,40.706376,-73.812057,24,4207357,4097030005,232,QN0805
12/14/2021 12:00:00 AM,109 Port Richmon LLC,238 Causeway,Lawrence,New York,718-846-7443,11559,,,,,,,,,
12/14/2021 12:00:00 AM,All City Metal,956 Brush Hollow Road,Westbury,New York,718-472-5700,11590,,,,,,,,,
12/14/2021 12:00:00 AM,Bayport Construction Corp,1286 Prospect Place,Brooklyn,New York,718-439-0400,11213,BROOKLYN,308,40.673441,-73.934219,36,3036168,3013650042,345,BK0802
12/14/2021 12:00:00 AM,DK Construction One Corp.,41-20 39th Street,Long Island City,New York,914-643-0805,11104,QUEENS,402,40.747163,-73.925532,26,4535364,4002150016,17901,QN0202
12/14/2021 12:00:00 AM,Right Away Electric LLC,57-52 58th Place,Maspeth,New York,212-776-1167,11378,,405,40.721563,-73.910607,30,4059886,4026760044,531,QN0501
12/14/2021 12:00:00 AM,With Pride Air Conditioning & Heating Inc.,90 Verdi Street,Farmingdale,New York,516-731-2573,11735,,,,,,,,,
12/16/2021 12:00:00 AM,"HDK Construction, LLC",140 E. 45th Street,New York,New York,212-687-8400,10017,MANHATTAN,106,40.753157,-73.974172,4,1036176,1012990027,92,MN0604
12/16/2021 12:00:00 AM,JA Jennings,211 East 43rd Street,New York,New York,646-532-2343,10017,MANHATTAN,106,40.751238,-73.973458,4,1037556,1013170007,88,MN0603
12/17/2021 12:00:00 AM,Sirina Fire Protection Corp.,151 Herricks Road,Garden City,New York,516-942-0400,11040,,,,,,,,,
01/04/2022 12:00:00 AM,215-01 42nd Avenue LLC,26 W 17th Street,New York,New York,212-904-0403,10011,MANHATTAN,105,40.738349,-73.993277,3,1015400,1008180066,54,MN0501
01/04/2022 12:00:00 AM,Madaleo Realty Corp.,244 Madison Avenue,New York,New York,212-213-8120,10016,MANHATTAN,105,40.750131,-73.981247,4,1017221,1008670057,82,MN0502
01/05/2022 12:00:00 AM,"CMS  Mechanical, Inc.",381 S 5th Street,Brooklyn,New York,718-640-1699,11211,BROOKLYN,301,40.707629,-73.953241,34,3335956,3024517502,527,BK0102
01/05/2022 12:00:00 AM,Porcelanosa,600 Route 17N,Ramsey,New Jersey,201-995-1310,07446,,,,,,,,,
01/05/2022 12:00:00 AM,"Vanquish Group, Inc.",59 - 43 56th Road,Maspeth,New York,718-433-0023,11378,QUEENS,405,40.724671,-73.908564,30,,,531,QN0501
01/07/2022 12:00:00 AM,Fulton Gate Realty LLC,15 Ocean Avenue,Brooklyn,New York,718-703-8441,11225,BROOKLYN,309,40.662643,-73.962842,40,3114558,3050240029,327,BK0902
01/07/2022 12:00:00 AM,JDP Mechanical Incorporated,24-39 44th Street,Astoria,New York,718-267-6767,11103,QUEENS,401,40.767143,-73.907914,22,4461896,4007170060,141,QN0104
01/10/2022 12:00:00 AM,All Glassmetal Fabrications,1280 Saw Mill River Road,Yonkers,New York,646-773-1628,10710,,,,,,,,,
01/10/2022 12:00:00 AM,John Civetta & Sons Incorporated,1123 Bronx River Avenue,Bronx,New York,718-589-9000,10472,BRONX,209,40.826048,-73.883435,17,2094852,2037340001,52,BX0901
